Disease,Category,Symptoms,CommonAgeGroup,Sex,Severity,Specialist,SyntheticTreatment
Flu,Common Illnesses,"Fever, Sore throat, Cough, Chills",Elderly,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Night sweats, Fatigue, Cough",Teen,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Stroke,Specialized Chronic Diseases,"Confusion, Vision problems, Numbness",Adult,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Wheezing, Chest tightness, Cough",Adult,Female,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Chest pain, Nausea, Sweating, Shortness of breath",Elderly,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Asthma,Chronic Illness,"Chest tightness, Wheezing",Child,Any,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Flu,Common Illnesses,"Body aches, Fever, Cough",Elderly,Any,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Flu,Common Illnesses,"Chills, Body aches, Sore throat",Adult,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Night sweats, Weight loss",Adult,Male,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Fatigue, Increased thirst, Frequent urination, Blurred vision",Teen,Female,Severe,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Eczema,Dermatological,"Dryness, Swelling",Teen,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Stroke,Specialized Chronic Diseases,"Confusion, Numbness, Vision problems",Teen,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Fever, Sore throat",Elderly,Any,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
PCOS,Chronic Disorder,"Acne, Hair thinning, Irregular periods",Elderly,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Heart Attack,Emergency Care,"Chest pain, Nausea, Shortness of breath",Elderly,Any,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Diabetes,Chronic Illness,"Increased thirst, Blurred vision",Child,Female,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Tuberculosis,Rare Diseases,"Weight loss, Cough, Fatigue, Night sweats",Teen,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Chest pain, Nausea, Sweating",Teen,Female,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Appendicitis,Surgical Conditions,"Nausea, Abdominal pain",Adult,Male,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Nausea, Loss of appetite",Elderly,Male,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Alzheimer’s,Specialized Chronic Diseases,"Mood swings, Poor judgment, Memory loss",Elderly,Male,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Flu,Common Illnesses,"Fever, Cough, Sore throat",Adult,Male,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Poor judgment, Mood swings",Teen,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Asthma,Chronic Illness,"Wheezing, Chest tightness, Shortness of breath",Child,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Nausea, Shortness of breath, Sweating, Chest pain",Adult,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Asthma,Chronic Illness,"Cough, Wheezing",Elderly,Any,Mild,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Confusion",Child,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Heart Attack,Emergency Care,"Chest pain, Shortness of breath",Child,Female,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Tuberculosis,Rare Diseases,"Weight loss, Cough, Fatigue",Child,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Blurred vision, Increased thirst, Frequent urination",Adult,Any,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
PCOS,Chronic Disorder,"Acne, Weight gain, Hair thinning, Irregular periods",Child,Male,Moderate,Gynecologist,"Hormonal therapy, dietary management, and long-term follow-up. Stronger prescription drugs may be necessary. Hormonal evaluations and reproductive health tracking suggested"
Asthma,Chronic Illness,"Wheezing, Chest tightness, Shortness of breath, Cough",Teen,Female,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Abdominal pain, Loss of appetite, Nausea, Vomiting",Teen,Any,Severe,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Appendicitis,Surgical Conditions,"Loss of appetite, Abdominal pain, Vomiting, Nausea",Adult,Female,Mild,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Diabetes,Chronic Illness,"Increased thirst, Blurred vision, Frequent urination, Fatigue",Adult,Any,Moderate,Endocrinologist,"Lifestyle changes, regular medication, and periodic checkups. Stronger prescription drugs may be necessary. Blood sugar and hormone level monitoring essential"
Asthma,Chronic Illness,"Shortness of breath, Cough",Elderly,Any,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Eczema,Dermatological,"Itchy skin, Swelling",Teen,Any,Moderate,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Body aches, Cough, Chills, Fever",Elderly,Male,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Flu,Common Illnesses,"Cough, Sore throat",Child,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Asthma,Chronic Illness,"Chest tightness, Cough",Elderly,Male,Moderate,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Nausea, Vomiting, Loss of appetite",Child,Female,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Shortness of breath, Nausea, Chest pain, Sweating",Adult,Female,Severe,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings, Poor judgment",Teen,Any,Moderate,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
Eczema,Dermatological,"Dryness, Itchy skin, Red patches, Swelling",Elderly,Female,Severe,Dermatologist,Consultation and standard treatment protocols
Flu,Common Illnesses,"Sore throat, Chills, Cough",Adult,Male,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Appendicitis,Surgical Conditions,"Vomiting, Abdominal pain, Nausea, Loss of appetite",Child,Any,Moderate,Surgeon,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Weight loss, Cough",Adult,Male,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Tuberculosis,Rare Diseases,"Cough, Night sweats",Adult,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Cough, Body aches, Chills, Fever",Adult,Any,Severe,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Heart Attack,Emergency Care,"Chest pain, Sweating, Shortness of breath",Elderly,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Flu,Common Illnesses,"Fever, Chills, Sore throat, Cough",Elderly,Any,Moderate,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Weight loss, Night sweats, Cough",Elderly,Any,Severe,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Asthma,Chronic Illness,"Chest tightness, Shortness of breath, Cough, Wheezing",Teen,Any,Severe,Pulmonologist,"Lifestyle changes, regular medication, and periodic checkups. Mild prescription medication usually works"
Tuberculosis,Rare Diseases,"Weight loss, Night sweats, Fatigue, Cough",Adult,Any,Mild,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Heart Attack,Emergency Care,"Shortness of breath, Nausea",Elderly,Male,Moderate,Cardiologist,"Immediate hospitalization, monitoring, and critical care. Mild prescription medication usually works. Heart-healthy diet and regular cardiac monitoring recommended"
Tuberculosis,Rare Diseases,"Night sweats, Weight loss, Fatigue, Cough",Child,Female,Moderate,Infectious Disease Specialist,Consultation and standard treatment protocols. Stronger prescription drugs may be necessary
Flu,Common Illnesses,"Fever, Sore throat, Chills",Child,Any,Mild,General Physician,"Rest, hydration, and over-the-counter medication. Mild prescription medication usually works"
Alzheimer’s,Specialized Chronic Diseases,"Memory loss, Mood swings",Adult,Any,Mild,Neurologist,Consultation and standard treatment protocols. Mild prescription medication usually works
